(21, 1, 1, 20, 20);ה;ם;ו;ח;נ;ן;ו;ז;ח;ר;פ;ס;ה;ו;נ;י;נ;א;ש;מ;(21, 1, 1, 1, 1)
(21, 1, 2, 15, 40);נ;ה;ו;ה;י;ם;ק;נ;ו;א;ו;נ;ק;ל;א;י;ש;ק;ל;א;(21, 1, 1, 21, 21)
(21, 1, 2, 35, 60);ה;ו;ה;י;ם;ק;נ;ה;מ;ח;ל;ע;ב;ו;ה;ו;ה;י;ם;ק;(21, 1, 2, 16, 41)
(21, 1, 3, 1, 80);י;ו;י;ב;י;א;ל;א;ו;ה;ר;ט;ו;נ;ו;ו;י;ר;צ;ל;(21, 1, 2, 36, 61)
(21, 1, 3, 21, 100);ק;נ;ו;ח;כ;ל;ו;ד;ג;ו;ם;י;פ;א;ך;ר;א;ה;ו;ה;(21, 1, 3, 2, 81)
(21, 1, 3, 41, 120);ע;ש;ב;ו;ה;פ;ו;ס;ב;ה;ו;ה;י;ה;ק;נ;י;א;ל;ה;(21, 1, 3, 22, 101)
(21, 1, 4, 2, 140);ו;ג;ו;י;ל;ג;ר;ק;ב;א;ן;נ;ע;ו;ו;כ;ר;ד;ה;ר;(21, 1, 3, 42, 121)
(21, 1, 4, 22, 160);ת;ו;ר;ה;נ;ה;ל;כ;ו;ו;ה;ש;ב;י;ו;ם;י;ב;ר;ע;(21, 1, 4, 3, 141)
(21, 1, 4, 42, 180);ר;פ;ו;ל;מ;ר;כ;ו;ן;ש;ב;ל;ל;מ;א;ב;י;ר;ח;ה;(21, 1, 4, 23, 161)
(21, 1, 5, 10, 200);מ;מ;ו;ש;ע;ר;ם;י;ר;ה;ל;ל;מ;א;ן;ו;נ;ב;ל;ח;(21, 1, 4, 43, 181)
(21, 1, 5, 30, 220);ה;א;ש;ת;ו;ו;ג;ג;מ;ת;ה;ת;ו;ע;ב;ג;ה;ו;ו;נ;(21, 1, 5, 11, 201)
(21, 1, 5, 50, 240);ב;י;ב;ש;י;ל;כ;ו;ל;ב;ת;ו;ו;י;נ;פ;מ;ץ;ר;א;(21, 1, 5, 31, 221)
(21, 1, 6, 19, 260);י;י;מ;ו;ד;ו;מ;ע;י;י;מ;ו;מ;ע;ז;י;נ;פ;ל;ה;(21, 1, 5, 51, 241)
(21, 1, 6, 39, 280);כ;ה;כ;ת;נ;ו;ת;מ;ח;ו;פ;א;ן;ו;ר;ח;ב;ם;ו;ק;(21, 1, 6, 20, 261)
(21, 1, 7, 4, 300);י;ב;ו;ט;ו;נ;מ;מ;ו;צ;ת;נ;ם;י;ר;צ;ה;ו;ש;א;(21, 1, 6, 40, 281)
(21, 1, 7, 24, 320);ח;ע;ד;י;ו;ה;ר;צ;ם;ו;י;ב;ז;ו;ע;מ;ל;ה;ו;ה;(21, 1, 7, 5, 301)
(21, 1, 8, 16, 340);מ;ה;ש;ע;י;ה;ל;כ;ר;ב;ע;ף;ט;ש;ב;ו;ו;ב;י;ס;(21, 1, 7, 25, 321)
(21, 1, 9, 3, 360);ת;ה;מ;ך;ש;ח;ף;ד;ר;י;ו;י;ב;י;א;ו;ה;מ;ו;ק;(21, 1, 8, 17, 341)
(21, 1, 9, 23, 380);ה;ש;ע;א;ו;ה;ה;ל;כ;ה;ו;ה;י;ל;א;ן;ו;ב;ש;ח;(21, 1, 9, 4, 361)
(21, 1, 10, 6, 400);י;ס;ד;ע;י;כ;ה;ר;צ;ם;י;מ;ע;פ;ם;ו;ק;ת;א;ל;(21, 1, 9, 24, 381)
(21, 1, 10, 26, 420);ם;י;א;ו;ב;ס;ם;א;ב;ס;כ;ו;ם;י;כ;ב;ס;ם;י;ר;(21, 1, 10, 7, 401)
(21, 1, 11, 7, 440);ח;א;צ;י;ך;מ;מ;א;ל;מ;ש;ב;י;ש;ק;כ;ו;ל;כ;א;(21, 1, 10, 27, 421)
(21, 1, 12, 1, 460);כ;ל;ע;י;ל;ב;ץ;ע;י;ה;ע;ר;ה;ו;ה;י;ל;ע;ב;ש;(21, 1, 11, 8, 441)
(21, 1, 12, 21, 480);ב;ר;ן;כ;ו;ם;י;מ;ל;ש;ם;א;ה;ו;ה;י;ר;מ;א;ה;(21, 1, 12, 2, 461)
(21, 1, 12, 41, 500);א;ל;ך;ת;נ;ע;ו;ר;ב;ע;ו;ו;ז;ג;נ;ן;כ;ו;ם;י;(21, 1, 12, 22, 481)
(21, 1, 13, 13, 520);מ;ו;ה;ט;מ;ר;ב;ש;א;ה;ת;ע;ו;ד;ו;ע;ך;נ;ע;א;(21, 1, 12, 42, 501)
(21, 1, 14, 4, 540);ה;ו;צ;ו;ק;ת;נ;א;ך;י;ת;ר;ס;ו;מ;ו;ך;י;ל;ע;(21, 1, 13, 14, 521)
(21, 1, 14, 24, 560);ו;ע;ך;מ;ש;מ;ע;ר;ז;י;א;ל;ה;ו;ה;י;ך;י;ל;ע;(21, 1, 14, 5, 541)
(21, 1, 14, 44, 580);מ;ו;ל;ס;פ;ת;י;ר;כ;א;ך;י;ה;ל;א;ת;י;ב;מ;ד;(21, 1, 14, 25, 561)
(21, 2, 1, 3, 600);ה;נ;ה;ת;ו;ל;ק;י;כ;ך;ר;ב;ק;ם;י;ש;א;ה;כ;ס;(21, 1, 14, 45, 581)
(21, 2, 1, 23, 620);ע;י;מ;ש;מ;ר;ש;ב;מ;י;ל;ג;ר;ם;י;ר;ה;ה;ל;ע;(21, 2, 1, 4, 601)
(21, 2, 1, 43, 640);י;מ;ל;ש;ך;י;ג;ח;ה;ד;ו;ה;י;י;ג;ח;ם;ו;ל;ש;(21, 2, 1, 24, 621)
(21, 2, 1, 63, 660);ב;ע;ל;ד;ו;ע;ף;י;ס;ו;י;א;ל;י;כ;ך;י;ר;ד;נ;(21, 2, 1, 44, 641)
(21, 2, 2, 4, 680);מ;ה;ל;ע;ת;ר;כ;נ;ה;ל;כ;ל;ע;י;ל;ב;ך;ב;ר;ו;(21, 2, 1, 64, 661)
(21, 2, 2, 24, 700);ה;פ;צ;ה;ר;צ;מ;ר;ו;צ;נ;ך;י;נ;פ;ל;ע;ץ;י;פ;(21, 2, 2, 5, 681)
(21, 2, 3, 1, 720);כ;ד;א;מ;ח;כ;ץ;מ;א;ם;י;נ;ת;מ;ק;ז;ח;ך;ר;ד;(21, 2, 2, 25, 701)
(21, 2, 3, 21, 740);א;ג;כ;ב;ק;ע;י;ן;ו;א;ג;ת;א;ה;ו;ה;י;ב;ש;י;(21, 2, 3, 2, 721)
(21, 2, 3, 41, 760);ו;ם;י;ק;ק;ב;ם;ו;ק;ק;ב;י;כ;ל;א;ר;ש;י;ן;ו;(21, 2, 3, 22, 741)
(21, 2, 4, 10, 780);מ;ו;ה;י;ר;ב;ג;ן;ג;מ;ו;ת;ח;ש;ם;ה;י;ר;מ;ז;(21, 2, 3, 42, 761)
(21, 2, 4, 30, 800);פ;ש;א;ב;ם;י;ע;ל;ת;מ;ל;י;ח;י;ש;נ;א;ם;ד;א;(21, 2, 4, 11, 781)
